Starting h200_lr1e-3
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 01 | Train Loss: 0.125598 | Validation Loss: 0.033751 | LR: 1.00e-03 | Time: 0.18mins
Epoch 02 | Train Loss: 0.018908 | Validation Loss: 0.011017 | LR: 1.00e-03 | Time: 0.18mins
Epoch 03 | Train Loss: 0.007296 | Validation Loss: 0.004771 | LR: 1.00e-03 | Time: 0.18mins
Epoch 04 | Train Loss: 0.003922 | Validation Loss: 0.003386 | LR: 1.00e-03 | Time: 0.18mins
Epoch 05 | Train Loss: 0.003110 | Validation Loss: 0.002832 | LR: 1.00e-03 | Time: 0.18mins
Epoch 06 | Train Loss: 0.002636 | Validation Loss: 0.002600 | LR: 1.00e-03 | Time: 0.18mins
Epoch 07 | Train Loss: 0.002440 | Validation Loss: 0.002472 | LR: 1.00e-03 | Time: 0.18mins
Epoch 08 | Train Loss: 0.002344 | Validation Loss: 0.002253 | LR: 1.00e-03 | Time: 0.18mins
Epoch 09 | Train Loss: 0.002237 | Validation Loss: 0.002206 | LR: 1.00e-03 | Time: 0.18mins
Epoch 10 | Train Loss: 0.002249 | Validation Loss: 0.002054 | LR: 1.00e-03 | Time: 0.18mins
Epoch 11 | Train Loss: 0.002075 | Validation Loss: 0.002164 | LR: 1.00e-03 | Time: 0.18mins
Epoch 12 | Train Loss: 0.002300 | Validation Loss: 0.002006 | LR: 1.00e-03 | Time: 0.18mins
Epoch 13 | Train Loss: 0.001990 | Validation Loss: 0.001916 | LR: 1.00e-03 | Time: 0.18mins
Epoch 14 | Train Loss: 0.001943 | Validation Loss: 0.001939 | LR: 1.00e-03 | Time: 0.18mins
Epoch 15 | Train Loss: 0.002020 | Validation Loss: 0.001884 | LR: 1.00e-03 | Time: 0.18mins
Epoch 16 | Train Loss: 0.001990 | Validation Loss: 0.001873 | LR: 1.00e-03 | Time: 0.18mins
Epoch 17 | Train Loss: 0.001865 | Validation Loss: 0.001850 | LR: 1.00e-03 | Time: 0.18mins
Epoch 18 | Train Loss: 0.001897 | Validation Loss: 0.001936 | LR: 1.00e-03 | Time: 0.18mins
Epoch 19 | Train Loss: 0.001839 | Validation Loss: 0.001819 | LR: 1.00e-03 | Time: 0.18mins
Epoch 20 | Train Loss: 0.001834 | Validation Loss: 0.002119 | LR: 1.00e-03 | Time: 0.18mins
Epoch 21 | Train Loss: 0.002035 | Validation Loss: 0.001745 | LR: 1.00e-03 | Time: 0.18mins
Epoch 22 | Train Loss: 0.001759 | Validation Loss: 0.001817 | LR: 1.00e-03 | Time: 0.18mins
Epoch 23 | Train Loss: 0.001867 | Validation Loss: 0.001773 | LR: 1.00e-03 | Time: 0.18mins
Epoch 24 | Train Loss: 0.001696 | Validation Loss: 0.001655 | LR: 1.00e-03 | Time: 0.18mins
Epoch 25 | Train Loss: 0.001775 | Validation Loss: 0.001666 | LR: 1.00e-03 | Time: 0.18mins
Epoch 26 | Train Loss: 0.001730 | Validation Loss: 0.001633 | LR: 1.00e-03 | Time: 0.18mins
Epoch 27 | Train Loss: 0.001763 | Validation Loss: 0.002598 | LR: 1.00e-03 | Time: 0.18mins
Epoch 28 | Train Loss: 0.001759 | Validation Loss: 0.001648 | LR: 1.00e-03 | Time: 0.18mins
Epoch 29 | Train Loss: 0.001639 | Validation Loss: 0.001609 | LR: 1.00e-03 | Time: 0.18mins
Epoch 30 | Train Loss: 0.001778 | Validation Loss: 0.001716 | LR: 1.00e-03 | Time: 0.18mins
Epoch 31 | Train Loss: 0.001676 | Validation Loss: 0.001634 | LR: 1.00e-03 | Time: 0.18mins
Epoch 32 | Train Loss: 0.001684 | Validation Loss: 0.001663 | LR: 1.00e-03 | Time: 0.18mins
Epoch 33 | Train Loss: 0.001579 | Validation Loss: 0.001623 | LR: 1.00e-03 | Time: 0.18mins
Epoch 34 | Train Loss: 0.001643 | Validation Loss: 0.001542 | LR: 1.00e-03 | Time: 0.18mins
Epoch 35 | Train Loss: 0.001564 | Validation Loss: 0.001562 | LR: 1.00e-03 | Time: 0.18mins
Epoch 36 | Train Loss: 0.001549 | Validation Loss: 0.001611 | LR: 1.00e-03 | Time: 0.18mins
Epoch 37 | Train Loss: 0.001696 | Validation Loss: 0.001660 | LR: 1.00e-03 | Time: 0.18mins
Epoch 38 | Train Loss: 0.001558 | Validation Loss: 0.001551 | LR: 1.00e-03 | Time: 0.18mins
Epoch 39 | Train Loss: 0.001511 | Validation Loss: 0.001675 | LR: 1.00e-03 | Time: 0.18mins
Epoch 40 | Train Loss: 0.001577 | Validation Loss: 0.001503 | LR: 1.00e-03 | Time: 0.18mins
Epoch 41 | Train Loss: 0.001558 | Validation Loss: 0.001460 | LR: 1.00e-03 | Time: 0.18mins
Epoch 42 | Train Loss: 0.001448 | Validation Loss: 0.001572 | LR: 1.00e-03 | Time: 0.18mins
Epoch 43 | Train Loss: 0.001467 | Validation Loss: 0.001455 | LR: 1.00e-03 | Time: 0.18mins
Epoch 44 | Train Loss: 0.001505 | Validation Loss: 0.001737 | LR: 1.00e-03 | Time: 0.18mins
Epoch 45 | Train Loss: 0.001546 | Validation Loss: 0.001868 | LR: 1.00e-03 | Time: 0.18mins
Epoch 46 | Train Loss: 0.001476 | Validation Loss: 0.001433 | LR: 1.00e-03 | Time: 0.18mins
Epoch 47 | Train Loss: 0.001503 | Validation Loss: 0.001431 | LR: 1.00e-03 | Time: 0.18mins
Epoch 48 | Train Loss: 0.001400 | Validation Loss: 0.001367 | LR: 1.00e-03 | Time: 0.18mins
Epoch 49 | Train Loss: 0.001401 | Validation Loss: 0.001546 | LR: 1.00e-03 | Time: 0.18mins
Epoch 50 | Train Loss: 0.001401 | Validation Loss: 0.001438 | LR: 1.00e-03 | Time: 0.18mins
Epoch 51 | Train Loss: 0.001542 | Validation Loss: 0.001434 | LR: 1.00e-03 | Time: 0.18mins
Epoch 52 | Train Loss: 0.001451 | Validation Loss: 0.001465 | LR: 1.00e-03 | Time: 0.18mins
Epoch 53 | Train Loss: 0.001331 | Validation Loss: 0.001332 | LR: 1.00e-03 | Time: 0.18mins
Epoch 54 | Train Loss: 0.001312 | Validation Loss: 0.001339 | LR: 1.00e-03 | Time: 0.18mins
Epoch 55 | Train Loss: 0.001356 | Validation Loss: 0.001316 | LR: 1.00e-03 | Time: 0.18mins
Epoch 56 | Train Loss: 0.001332 | Validation Loss: 0.001434 | LR: 1.00e-03 | Time: 0.18mins
Epoch 57 | Train Loss: 0.001315 | Validation Loss: 0.001366 | LR: 1.00e-03 | Time: 0.18mins
Epoch 58 | Train Loss: 0.001472 | Validation Loss: 0.001378 | LR: 1.00e-03 | Time: 0.18mins
Epoch 59 | Train Loss: 0.001260 | Validation Loss: 0.001397 | LR: 1.00e-03 | Time: 0.18mins
Epoch 60 | Train Loss: 0.001313 | Validation Loss: 0.001300 | LR: 1.00e-03 | Time: 0.18mins
Epoch 61 | Train Loss: 0.001265 | Validation Loss: 0.001297 | LR: 1.00e-03 | Time: 0.18mins
Epoch 62 | Train Loss: 0.001226 | Validation Loss: 0.001311 | LR: 1.00e-03 | Time: 0.18mins
Epoch 63 | Train Loss: 0.001394 | Validation Loss: 0.001272 | LR: 1.00e-03 | Time: 0.18mins
Epoch 64 | Train Loss: 0.001265 | Validation Loss: 0.001467 | LR: 1.00e-03 | Time: 0.18mins
Epoch 65 | Train Loss: 0.001246 | Validation Loss: 0.001285 | LR: 1.00e-03 | Time: 0.18mins
Epoch 66 | Train Loss: 0.001177 | Validation Loss: 0.001265 | LR: 1.00e-03 | Time: 0.18mins
Epoch 67 | Train Loss: 0.001202 | Validation Loss: 0.001345 | LR: 1.00e-03 | Time: 0.18mins
Epoch 68 | Train Loss: 0.001310 | Validation Loss: 0.001246 | LR: 1.00e-03 | Time: 0.18mins
Epoch 69 | Train Loss: 0.001182 | Validation Loss: 0.001267 | LR: 1.00e-03 | Time: 0.18mins
Epoch 70 | Train Loss: 0.001190 | Validation Loss: 0.001215 | LR: 1.00e-03 | Time: 0.18mins
Epoch 71 | Train Loss: 0.001135 | Validation Loss: 0.001238 | LR: 1.00e-03 | Time: 0.18mins
Epoch 72 | Train Loss: 0.001253 | Validation Loss: 0.001248 | LR: 1.00e-03 | Time: 0.18mins
Epoch 73 | Train Loss: 0.001160 | Validation Loss: 0.001287 | LR: 1.00e-03 | Time: 0.18mins
Epoch 74 | Train Loss: 0.001156 | Validation Loss: 0.001292 | LR: 1.00e-03 | Time: 0.18mins
Epoch 75 | Train Loss: 0.001150 | Validation Loss: 0.001370 | LR: 1.00e-03 | Time: 0.18mins
Epoch 76 | Train Loss: 0.001129 | Validation Loss: 0.001200 | LR: 1.00e-03 | Time: 0.18mins
Epoch 77 | Train Loss: 0.001095 | Validation Loss: 0.001191 | LR: 1.00e-03 | Time: 0.18mins
Epoch 78 | Train Loss: 0.001235 | Validation Loss: 0.001268 | LR: 1.00e-03 | Time: 0.18mins
Epoch 79 | Train Loss: 0.001068 | Validation Loss: 0.001177 | LR: 1.00e-03 | Time: 0.18mins
Epoch 80 | Train Loss: 0.001112 | Validation Loss: 0.001176 | LR: 1.00e-03 | Time: 0.18mins
Epoch 81 | Train Loss: 0.001089 | Validation Loss: 0.001518 | LR: 1.00e-03 | Time: 0.18mins
Epoch 82 | Train Loss: 0.001166 | Validation Loss: 0.001213 | LR: 1.00e-03 | Time: 0.18mins
Epoch 83 | Train Loss: 0.001049 | Validation Loss: 0.001248 | LR: 1.00e-03 | Time: 0.18mins
Epoch 84 | Train Loss: 0.001061 | Validation Loss: 0.001240 | LR: 1.00e-03 | Time: 0.18mins
Epoch 85 | Train Loss: 0.001095 | Validation Loss: 0.001218 | LR: 1.00e-03 | Time: 0.18mins
Epoch 86 | Train Loss: 0.001043 | Validation Loss: 0.001238 | LR: 1.00e-03 | Time: 0.18mins
Epoch 87 | Train Loss: 0.000948 | Validation Loss: 0.001090 | LR: 5.00e-04 | Time: 0.18mins
Epoch 88 | Train Loss: 0.000931 | Validation Loss: 0.001094 | LR: 5.00e-04 | Time: 0.18mins
